SAMPLE_ID,식품명,식품상세분류,에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총당류(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),인(㎎),칼륨(㎎),나트륨(㎎),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍)
R0012160ZZ0AVG,"석이버섯, 말린것",버섯류,165,12.9,11.75,0.96,68.47,0.33,60.9,47,54.6,85,89,403,6,20.86,0.692,2.926,91.6
R0004970ZZ0AVG,"땅콩, 소립종, 말린것",견과류 및 종실류,564,5.1,22.4,46.3,24.2,0,0,43,3.2,0,300,616,3,0,0,0,0
R0007030ZZ0AVG,"도라지, 뿌리, 생것",채소류,56,84.5,1.7,0.11,13.08,1.98,4.2,40,0.32,22,67,231,3,0.82,0.086,0.19,1.79
R0030440ZZ0AVG,"소고기, 한우(1+등급), 우둔(우둔살), 생것",육류,163,70.3,22.68,7.33,0,0,0,2,2.64,23,184,316,41,4.05,0.055,0.014,20.37
R0020660ZZ0AVG,"살살치, 생것",어패류 및 기타 수산물,70,82.2,15.5,0.2,0.6,0,0,59,0.9,0,243,0,0,0,0,0,0
R0019850ZZ0AVG,"명태, 코다리, 반건조, 구운것",어패류 및 기타 수산물,112,73,25.2,0.5,0,0,0,53,2.8,0,182,283,132,0,0,0,0
R0012080ZZ0AVG,"버들송이버섯, 생것",버섯류,20,88.4,4.2,0.1,5.5,0,0,2,0.9,0,14,435,7,0,0,0,0
R0016650ZZ0AVG,"소고기, 한우(1++등급), 우둔(홍두깨살), 생것",육류,161,69.8,21.2,7.8,0,0,0,65,0,0,196,354,62,0,0,0,0
R0002770ZZ0AVG,"찹쌀, 동진찰벼, 현미, 생것",곡류 및 그 제품,357,13.2,7.14,2.18,76.22,0.39,6.2,10,1.18,118,322,248,1,2.35,0.234,1.604,1.37
R0003520ZZ0AVG,"전분, 옥수수, 가루",감자 및 전분류,366,9.6,0.19,0.56,89.6,0.05,0.4,3,0.19,3,17,13,6,0,0.001,0.004,0.63
R0003100ZZ0AVG,"감자, 보라밸리, 삶은것",감자 및 전분류,69,81.6,1.39,0.05,15.97,0,1.6,7,0.34,17,59,386,2,0.23,0.085,0.11,0.76
R0003950ZZ0AVG,"젤라틴, 디저트용, 가루 ",당류,381,1,7.8,0,90.5,86.04,0,3,0.13,2,141,7,466,0.01,0.118,0.011,6.7
R0015370ZZ0AVG,"닭고기, 살코기, 튀긴것(튀김옷)",육류,289,49.39,22.54,17.35,9.42,0,0.3,21,1.37,21,155,185,292,1.67,0.072,0.057,25.5
R0002170ZZ0AVG,"파스타, 스파게티, 말린것, 삶은것",곡류 및 그 제품,129,69.1,3.8,0,26.9,0,0,5,0.7,0,8,29,7,0,0,0,0
R0027730ZZ0AVG,발사믹식초,조미료류,88,76.45,0.49,0,17.03,14.95,0,27,0.72,12,19,112,23,0.08,0.026,0.131,0
R0017750ZZ0AVG,"어린양 부산물, 미국산, 간, 삶은것",육류,220,56.67,30.57,8.81,2.53,0,0,8,8.28,22,420,221,56,7.89,7.074,0.52,111.4
R0026140ZZ0AVG,아마씨유,유지류,884,0.12,0.11,99.98,0,0,0,1,0,0,1,0,0,0.07,0,0,0
R0025690ZZ0AVG,"요구르트, 호상, 딸기맛",우유 및 유제품류,95,78.3,2.95,2.46,15.53,14.46,0.7,123,0.06,12,89,163,41,0.46,0.001,0.093,3.73
R0004910ZZ0AVG,"땅콩, 삶은것, 소금첨가",견과류 및 종실류,318,41.78,13.5,22.01,21.26,2.47,8.8,55,1.01,102,198,180,751,1.83,0.499,1.023,4.4
R0013540ZZ0AVG,"복숭아, 천도, 생것",과실류,32,90.7,0.93,0.05,7.85,4.67,3.8,6,0.19,10,21,231,0,0.21,0.023,0.05,0
R0003300ZZ0AVG,"고구마, 점질(호박) 고구마, 구운것",감자 및 전분류,186,52.5,1.25,0.16,44.98,23.21,3.7,21,0.66,31,63,459,9,0.24,0.125,0.486,2.17
R0029100ZZ0AVG,소머리국밥,조리가공품류,79,84.4,9.5,3.6,2.2,0,0.5,9,12.4,0,32,37,103,0,0,0,0
R0024940ZZ0AVG,"김, 참김, 생것",해조류,12,90.5,3.3,0.4,2,0,0,490,4.5,0,474,2208,144,0,0,0,0
R0031430ZZ0AVG,"커피, 커피가루, 설탕, 물에 탄것(중량 2.7g)",차류,17,95.8,0.18,0,3.98,1.68,0,2,0.02,3,3,34,0,0,0,0.023,0.21
R0004290ZZ0AVG,"동부, 미얀마산, 삶은것",두류,155,61.8,10.02,1.12,26.28,0,11.3,43,1.82,57,151,209,2,1.5,0.165,0.53,3.04
R0011560ZZ0AVG,"피망, 초록색, 생것",채소류,22,93.2,0.9,0.04,5.36,1.35,2.7,14,0.5,12,25,187,1,0.07,0.037,0.06,0.33
R0008690ZZ0AVG,"브로콜리, 잎, 삶아서 말린것",채소류,271,13.4,17.4,1.8,59.8,0,0,1716,3.9,0,364,671,35,0,0,0,0
R0013480ZZ0AVG,"복숭아, 당절임",과실류,311,21.5,2.6,0.1,75,0,0,5,1.2,0,60,1238,51,0,0,0,0
